id,categoria,product,image_url
pizza-alla-nutella-e-pistacchio,pizze-dolci,Pizza alla nutella e pistacchio,
coca-cola-1lt,bevande,Coca-Cola 1lt,https://rs-menus-api.roocdn.com/images/feaf3d60-2a98-4adc-af0d-1949b3a60b48/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
coca-cola-zero-33cl,bevande,Coca-Cola Zero 33cl,https://rs-menus-api.roocdn.com/images/c3e9ff85-3d17-4e4f-ab10-24b71afd3080/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
coca-cola-33cl,bevande,Coca-Cola 33cl,https://rs-menus-api.roocdn.com/images/1100e3d8-ff52-49f9-99ff-1b01d2c94ce3/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
acqua-naturale-50cl,bevande,Acqua naturale 50cl,https://rs-menus-api.roocdn.com/images/c269398c-b7c0-43d8-9d96-8b5edc3d30d0/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
fanta-33cl,bevande,Fanta 33cl,https://rs-menus-api.roocdn.com/images/bd66ab3a-4215-42af-80ae-56d384cfa930/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
acqua-frizzante-50cl,bevande,Acqua frizzante 50cl,https://rs-menus-api.roocdn.com/images/72b114f3-3a57-43ac-9abe-763d587eac1c/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
sprite-33cl,bevande,Sprite 33cl,https://rs-menus-api.roocdn.com/images/27c1128c-4198-4a5e-b7b7-c0ddc0fd3658/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
te-al-limone-33cl,bevande,Tè al limone 33cl,https://rs-menus-api.roocdn.com/images/d44575a6-de31-4419-8cba-474fe950ebe0/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
te-alla-pesca-33cl,bevande,Tè alla pesca 33cl,https://rs-menus-api.roocdn.com/images/03e42730-f7b6-4395-91e8-49c641e5eddb/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
moretti-66cl,birre,Moretti 66cl,https://rs-menus-api.roocdn.com/images/9208675e-8ccd-4a83-a753-9aa80f89c8b5/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
a-miriusa,birre,A' Miriusa,https://rs-menus-api.roocdn.com/images/9377055e-f988-4968-a20e-67fee6b87f3a/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
a-smaniusa,birre,A' Smaniusa,https://rs-menus-api.roocdn.com/images/c41a10cc-58de-44a9-8c1d-b04d23fd657c/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
a-licca,birre,A' Licca,https://rs-menus-api.roocdn.com/images/c2c37097-4f5f-4c65-aff5-3f280fb272f9/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
messina-33cl,birre,Messina 33cl,
ceres-33cl,birre,Ceres 33cl,https://rs-menus-api.roocdn.com/images/74ebfa54-da02-4138-be44-49d94c06e416/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
a-raggiata,birre,A' Raggiata,https://rs-menus-api.roocdn.com/images/7fdbd6cd-f4c0-4cdc-8fce-fa2200baf494/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
messina-cristalli-di-sale-50cl,birre,Messina Cristalli di Sale 50cl,
menza-parola,t-shirt,Menza parola,https://rs-menus-api.roocdn.com/images/917ec924-c309-4706-90a3-b4842a6fd252/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
scegli-il-menu,meal-deals,Scegli il Menù,https://rs-menus-api.roocdn.com/images/96f58f64-7e9e-4e6d-a79d-0aff236f482e/image.jpeg?width={w}&height={h}&auto=webp&format=jpg&fit=crop
